,Rank,Release Date,Movie Title,Production Budget ($),Worldwide Gross ($),Domestic Gross ($)
157,4265,1/1/1970,M*A*S*H,3500000,81600000,"$81,600,000"
158,4855,1/1/1970,Beyond the Valley of the Dolls,1000000,9000000,"$9,000,000"
159,5027,3/26/1970,Woodstock,600000,34505110,"$34,505,110"
160,4259,5/13/1970,The Ballad of Cable Hogue,3716946,5000000,"$3,500,000"
161,4349,5/26/1970,Beneath the Planet of the Apes,3000000,17489009,"$17,489,009"
162,2598,6/24/1970,Catch-22,18000000,24911670,"$24,911,670"
163,2076,9/23/1970,"Tora, Tora, Tora",25000000,29548291,"$29,548,291"
164,3512,1/1/1971,Fiddler on the Roof,9000000,80500000,"$80,500,000"
165,3809,1/1/1971,The Andromeda Strain,6500000,12376563,"$12,376,563"
166,4477,1/1/1971,Escape from the Planet of the Apes,2500000,12300000,"$12,300,000"
167,5270,1/1/1971,Sweet Sweetback's Baad Asssss Song,150000,15200000,"$15,200,000"
168,4626,4/28/1971,Bananas,2000000,0,$0
169,4379,6/30/1971,Willy Wonka & the Chocolate Factory,3000000,4000000,"$4,000,000"
170,4526,9/10/1971,The French Connection,2200000,41158757,"$41,158,757"
171,3705,12/17/1971,Diamonds Are Forever,7200000,116000000,"$43,800,000"
172,4686,1/1/1972,Conquest of the Planet of the Apes,1700000,9700000,"$9,700,000"
173,3709,3/15/1972,The Godfather,7000000,268500000,"$134,966,411"
174,4275,6/21/1972,Frenzy,3500000,12600000,"$12,600,000"
175,5356,6/30/1972,Deep Throat,25000,45000000,"$45,000,000"
176,5314,8/30/1972,The Last House on the Left,87000,3100000,"$3,100,000"
177,4239,9/11/1972,1776,4000000,0,$0
178,4548,11/8/1972,Everything You Always Wanted to Know,2000000,18016290,"$18,016,290"
179,4665,1/1/1973,Battle for the Planet of the Apes,1800000,8800000,"$8,800,000"
180,4106,5/23/1973,Pat Garrett and Billy the Kid,4638783,11000000,"$8,000,000"
181,3714,6/27/1973,Live and Let Die,7000000,161800000,"$35,400,000"
182,3926,8/22/1973,High Plains Drifter,5500000,15700000,"$15,700,000"
183,4994,11/8/1973,American Graffiti,777000,140000000,"$115,000,000"
184,4547,12/17/1973,Sleeper,2000000,18344729,"$18,344,729"
185,3921,12/25/1973,The Sting,5500000,159616327,"$159,616,327"
186,3121,12/26/1973,The Exorcist,12000000,400214478,"$202,347,346"
187,4458,1/1/1974,Blazing Saddles,2600000,119500000,"$119,500,000"
188,3720,3/29/1974,The Great Gatsby,7000000,26533200,"$26,533,200"
189,4696,7/4/1974,The Conversation,1600000,4420000,"$4,420,000"
190,5280,10/18/1974,The Texas Chainsaw Massacre,140000,26572439,"$26,572,439"
191,3038,11/12/1974,The Godfather: Part II,13000000,57300000,"$57,300,000"
192,5049,11/15/1974,Benji,500000,31559560,"$31,559,560"
193,4442,12/15/1974,Young Frankenstein,2800000,86300000,"$86,300,000"
194,2961,12/17/1974,Towering Inferno,14000000,139700000,"$116,000,000"
195,4176,12/17/1974,The Front Page,4000000,15000000,"$15,000,000"
196,3726,12/20/1974,The Man with the Golden Gun,7000000,97600000,"$21,000,000"
197,3261,1/1/1975,Barry Lyndon,11000000,20169934,"$20,000,000"
198,5176,1/4/1975,Death Race 2000,300000,0,$0
199,3968,5/16/1975,The Return of the Pink Panther,5000000,41833347,"$41,833,347"
200,3120,6/20/1975,Jaws,12000000,470700000,"$260,000,000"
201,4791,9/26/1975,The Rocky Horror Picture Show,1200000,140556781,"$140,510,017"
202,5125,10/5/1975,Monty Python and the Holy Grail,400000,5028948,"$3,427,696"
203,4344,10/6/1975,Love and Death,3000000,20123742,"$20,123,742"
